Timestamp,You are a:,How often do you use transit?,Why do you use transit?,What do you use transit to get to? ,Which route do you use most?,Which route do you use second-most?,Which route do you use third-most?,Where do you live?,Vancouver residents — which neighbourhood?,Where do you usually take the bus to?,How crowded is your most-used route?,How crowded is your second-most-used route?,How crowded is your third-most-used route?,How often is your bus late?,How often does a full bus skip your stop?,When do you usually catch the bus?,How satisfied are you with Vancouver transit?,How do you think your route could be improved?
1/26/2017 16:42:55,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Recreation/other",Expo Line,Canada Line,Millennium Line,New Westminster,,UBC,7,6,7,9,4,6 a.m.-8 a.m.,2,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 16:44:06,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",Canada Line,25,84,City of Vancouver,Downtown,City of Vancouver (outside UBC),9,7,3,4,4,"8 a.m.-10 a.m., 2 p.m.-4 p.m.",4,"More busses, A new Skytrain/LRT line"
1/26/2017 16:46:38,UBC student,Never,I never transit,Recreation/other,Canada Line,,,City of Vancouver,Arbutus,I don't take the bus,3,2,2,6,6,12 p.m.-2 p.m.,1,A new Skytrain/LRT line
1/26/2017 16:46:41,UBC student,Twice per day,Convenience,School,4,84,99,City of Vancouver,Point Grey,UBC,9,10,6,10,9,8 a.m.-10 a.m.,1,"More busses, Better drivers, More on time please"
1/26/2017 16:49:06,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Recreation/other",41,49,Canada Line,City of Vancouver,Dunbar,UBC,7,7,6,3,4,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m.",2,"More busses, Better drivers"
1/26/2017 16:50:08,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",49,99,14,City of Vancouver,UBC,Richmond,5,10,10,10,4,8 a.m.-10 a.m.,3,"More busses, A new Skytrain/LRT line"
1/26/2017 16:50:56,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,C18,41,99,City of Vancouver,UBC,UBC,4,10,6,7,8,"8 a.m.-10 a.m., 10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m.",2,"More busses, Better drivers"
1/26/2017 16:51:24,UBC student,A few times per month,Convenience,School,25,33,41,City of Vancouver,UBC,UBC,9,9,9,4,10,"8 a.m.-10 a.m., 10 a.m.-12 p.m., 12 p.m.-2 p.m.",2,"More busses, I don't know if this is a route problem, but I live very near UBC and pay the same price as anyone else for my UPass. However, I am barely able to use it because even if I go out to my stop early, full busses just pass right by even if there's only 1-2 people waiting. I find it very unfair that I am unable to opt out of my UPass (I am forced to walk or get a ride nearly every day because of this issue). Sometimes the busses aren't even half full and they pass by. I also find it funny that they've stopped some busses like the 250 and 49 from stopping at stops close to UBC. WHY. THOSE WERE THE LONG, DOUBLE-BUS ONES THAT WOULD ALLEVIATE SOME OF THE OVERLOAD ON OTHER, SMALLER BUSSES. I get really mad and annoyed when thinking about this, even more so because there is no way to opt out for the average student. It feels like Translink doesn't care about students who live closer to UBC and expect them just to walk, so if they're going to have that attitude they should either compensate by making UPasses for such students cheaper or providing an opt out method for students who live within the UBC area. "
1/26/2017 16:53:39,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,Expo Line,99,,Surrey/Delta/Langley,,UBC,7,4,,2,1,6 a.m.-8 a.m.,3,A new Skytrain/LRT line
1/26/2017 16:54:00,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work",Millennium Line,84,,Burnaby,,UBC,8,8,,3,1,"6 a.m.-8 a.m., 4 p.m.-6 p.m., 8 p.m.-10 p.m.",3,More busses
1/26/2017 16:56:07,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",14,99,Canada Line,City of Vancouver,UBC,City of Vancouver (outside UBC),5,8,5,3,3,"12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",4,A new Skytrain/LRT line
1/26/2017 16:57:18,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Better for the environment","School, Recreation/other",43,41,Expo Line,City of Vancouver,Renfrew-Collingwood,UBC,7,5,7,7,4,"8 a.m.-10 a.m., 4 p.m.-6 p.m., 8 p.m.-10 p.m.",4,A new Skytrain/LRT line
1/26/2017 16:58:42,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience, No licence","School, Work, Recreation/other",84,41,4,City of Vancouver,Kitsilano,UBC,8,7,4,2,8,"8 a.m.-10 a.m., 6 p.m.-8 p.m.",4,"More busses, A new Skytrain/LRT line"
1/26/2017 16:59:23,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",99,4,84,City of Vancouver,Kitsilano,City of Vancouver (outside UBC),8,6,6,10,4,"8 a.m.-10 a.m., After 10 p.m.",3,"More busses, Better drivers"
1/26/2017 16:59:34,Lower mainland resident (non-student),A few times per week,Convenience,Recreation/other,Canada Line,Millennium Line,99,Surrey/Delta/Langley,,City of Vancouver (outside UBC),3,5,8,3,1,"10 a.m.-12 p.m., 12 p.m.-2 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",4,A new Skytrain/LRT line
1/26/2017 17:01:55,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",25,Canada Line,17,City of Vancouver,South Cambie,UBC,9,7,5,4,6,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 4 p.m.-6 p.m.",3,"More busses, A new Skytrain/LRT line"
1/26/2017 17:09:59,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Recreation/other",Expo Line,99,Millennium Line,Surrey/Delta/Langley,,Maple Ridge,10,10,3,3,1,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 4 p.m.-6 p.m.",1,"More busses, A new Skytrain/LRT line"
1/26/2017 17:12:18,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,33,99,25,City of Vancouver,Dunbar,UBC,10,6,10,2,4,8 a.m.-10 a.m.,3,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 17:13:46,UBC student,A few times per week,Convenience,Recreation/other,99,Canada Line,Expo Line,Maple Ridge,,City of Vancouver (outside UBC),5,3,3,3,6,"2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",3,"More busses, A new Skytrain/LRT line"
1/26/2017 17:14:55,UBC student,A few times per month,"Convenience, Parents didn't let me take my car to university",Recreation/other,99,14,49,On campus,UBC,City of Vancouver (outside UBC),7,9,6,3,1,4 p.m.-6 p.m.,3,A new Skytrain/LRT line
1/26/2017 17:18:39,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,4,C18,49,City of Vancouver,UBC,City of Vancouver (outside UBC),6,8,4,1,1,"10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m.",4,"More busses, A new Skytrain/LRT line"
1/26/2017 17:18:41,UBC student,Multiple times per day,Convenience,"School, Recreation/other",99,84,14,City of Vancouver,Point Grey,UBC,9,6,6,5,7,10 a.m.-12 p.m.,4,"More busses, A new Skytrain/LRT line"
1/26/2017 17:27:21,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,49,43,20,City of Vancouver,Victoria-Fraserview,UBC,10,8,4,6,9,"6 a.m.-8 a.m., 8 a.m.-10 a.m.",4,"More busses, Better drivers"
1/26/2017 17:27:27,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Recreation/other",43,20,Expo Line,City of Vancouver,Kensington-Cedar Cottage,UBC,8,4,6,4,4,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",3,"More busses, A new Skytrain/LRT line"
1/26/2017 17:28:42,UBC student,Once per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,99,Millennium Line,25,City of Vancouver,UBC,City of Vancouver (outside UBC),8,6,3,6,3,"Before 6 a.m., 6 a.m.-8 a.m., 12 p.m.-2 p.m.",4,More busses
1/26/2017 17:29:56,UBC student,A few times per week,i dont have a car,Recreation/other,99,84,14,Coquitlam,UBC,City of Vancouver (outside UBC),7,8,6,4,1,"12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m.",2,More busses
1/26/2017 17:32:19,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,43,Expo Line,49,Burnaby,,UBC,8,8,8,7,5,6 a.m.-8 a.m.,2,Direct buses from edmonds station to UBC
1/26/2017 17:37:46,UBC student,Once per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",Recreation/other,99,49,43,Surrey/Delta/Langley,,Surrey/Delta/Langley,6,6,6,2,1,"4 p.m.-6 p.m., 6 p.m.-8 p.m.",4,more accurate scheduling
1/26/2017 17:38:47,Lower mainland resident (non-student),Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","Work, Recreation/other",Expo Line,84,8,Surrey/Delta/Langley,,City of Vancouver (outside UBC),10,8,5,6,8,8 a.m.-10 a.m.,2,"More busses, A new Skytrain/LRT line"
1/26/2017 17:40:18,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience, the risk of falling asleep at the wheel",Recreation/other,84,99,Evergreen Line,City of Vancouver,UBC,City of Vancouver (outside UBC),8,6,6,8,3,"8 a.m.-10 a.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",3,A new Skytrain/LRT line
1/26/2017 17:42:09,UBC student,Multiple times per day,Convenience,School,99,44,84,City of Vancouver,Kitsilano,UBC,10,10,10,2,7,8 a.m.-10 a.m.,3,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 17:43:21,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,Canada Line,43,49,Richmond,,UBC,7,7,8,5,1,"8 a.m.-10 a.m., 10 a.m.-12 p.m., 4 p.m.-6 p.m.",3,More busses
1/26/2017 17:44:47,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",4,14,99,City of Vancouver,UBC,City of Vancouver (outside UBC),10,10,10,3,7,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",4,"More busses, A new Skytrain/LRT line"
1/26/2017 17:46:03,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,4,14,99,City of Vancouver,UBC,City of Vancouver (outside UBC),3,3,3,1,1,"4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",5,It's perfect as is
1/26/2017 17:49:46,UBC student,Twice per day,Convenience,School,33,41,25,City of Vancouver,Riley Park,UBC,6,7,7,3,4,"8 a.m.-10 a.m., 2 p.m.-4 p.m.",3,More busses
1/26/2017 17:50:10,UBC student,Twice per day,Convenience,"School, Recreation/other",99,22,14,City of Vancouver,UBC,UBC,8,4,5,3,1,"8 a.m.-10 a.m., 12 p.m.-2 p.m., After 10 p.m.",3,"More busses, A new Skytrain/LRT line"
1/26/2017 17:51:13,UBC student,Multiple times per day,Only method of transport,"School, Work, Recreation/other",Expo Line,99,44,Surrey/Delta/Langley,,Surrey/Delta/Langley,7,8,6,6,3,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 12 p.m.-2 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",4,"More busses, A new Skytrain/LRT line"
1/26/2017 17:52:21,UBC student,Twice per day,Convenience,School,25,2,Canada Line,City of Vancouver,Arbutus,UBC,6,3,2,3,2,8 a.m.-10 a.m.,4,"More busses, It's perfect as is"
1/26/2017 17:54:16,UBC student,Twice per day,have to,"School, Recreation/other",Seabus,44,Canada Line,North or West Vancouver,,UBC,4,9,2,3,1,"8 a.m.-10 a.m., 10 a.m.-12 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",2,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 17:55:26,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",84,4,7,City of Vancouver,Kitsilano,UBC,7,7,3,6,5,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 2 p.m.-4 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",3,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 18:02:02,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",Recreation/other,99,14,41,UBC Campus,UBC,City of Vancouver (outside UBC),8,7,8,7,2,"2 p.m.-4 p.m., 4 p.m.-6 p.m.",3,"More busses, A new Skytrain/LRT line"
1/26/2017 18:06:21,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",Canada Line,25,41,City of Vancouver,Riley Park,City of Vancouver (outside UBC),8,9,8,6,3,8 a.m.-10 a.m.,3,"More busses, A new Skytrain/LRT line"
1/26/2017 18:07:18,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",School,Millennium Line,99,Expo Line,Burnaby,,UBC,5,3,7,4,1,6 a.m.-8 a.m.,4,"More busses, A new Skytrain/LRT line"
1/26/2017 18:09:57,UBC student,A few times per week,"Convenience, CompassCard",School,25,99,14,City of Vancouver,Point Grey,UBC,10,8,4,4,10,6 a.m.-8 a.m.,4,Longer busses for the 25 route
1/26/2017 18:11:15,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",Canada Line,Millennium Line,Expo Line,Richmond and on-campus,UBC,UBC and Richmond,5,5,5,6,5,"12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",3,"More busses, Better drivers"
1/26/2017 18:11:20,Vancouver resident (non-student),Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",99,Canada Line,10,City of Vancouver,UBC,City of Vancouver (outside UBC),2,5,7,9,6,"8 a.m.-10 a.m., 12 p.m.-2 p.m., 6 p.m.-8 p.m.",2,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 18:12:13,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work",99,17,25,City of Vancouver,Fairview,UBC,8,5,5,8,4,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 12 p.m.-2 p.m., 4 p.m.-6 p.m.",4,"More busses, A new Skytrain/LRT line, being on time/reliable (17)"
1/26/2017 18:23:21,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",84,99,44,City of Vancouver,Kitsilano,UBC,8,8,8,3,7,8 a.m.-10 a.m.,3,A new Skytrain/LRT line
1/26/2017 18:27:21,UBC student,Multiple times per day,Convenience,"School, Work, Recreation/other",49,Canada Line,99,Richmond,,UBC,1,5,5,3,1,8 a.m.-10 a.m.,1,More busses
1/26/2017 18:27:25,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",14,4,99,City of Vancouver,Kitsilano,UBC,7,7,9,8,6,8 a.m.-10 a.m.,4,More busses
1/26/2017 18:30:43,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",Recreation/other,49,Expo Line,41,City of Vancouver,UBC,City of Vancouver (outside UBC),7,7,7,6,5,2 p.m.-4 p.m.,4,More busses
1/26/2017 18:42:51,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work",25,7,,City of Vancouver,Dunbar,UBC,9,3,3,4,7,"8 a.m.-10 a.m., 10 a.m.-12 p.m., After 10 p.m.",2,"More busses, Better drivers"
1/26/2017 18:46:55,UBC student,A few times per week,Convenience,"School, Recreation/other",84,99,44,City of Vancouver,UBC,City of Vancouver (outside UBC),5,8,5,2,2,4 p.m.-6 p.m.,4,More busses
1/26/2017 18:47:04,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work",Millennium Line,99,49,Elsewhere in the Lower Mainland,,UBC,8,10,10,3,3,8 a.m.-10 a.m.,2,"More busses, A new Skytrain/LRT line"
1/26/2017 18:47:21,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,99,Millennium Line,Canada Line,You guys should know that UBC Campus is not part of the City of Vancouver.,UBC,City of Vancouver (outside UBC),5,7,7,5,1,"10 a.m.-12 p.m., 12 p.m.-2 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",5,"More busses, It's perfect as is"
1/26/2017 18:48:54,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",10,Canada Line,100,City of Vancouver,Marpole,UBC,7,8,7,8,10,"Before 6 a.m., 6 a.m.-8 a.m., 8 a.m.-10 a.m., 10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",2,"More busses, A new Skytrain/LRT line"
1/26/2017 18:49:09,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",43,41,,City of Vancouver,Riley Park,UBC,8,10,,8,8,8 a.m.-10 a.m.,2,"More busses, another route"
1/26/2017 18:49:31,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work",41,49,7,City of Vancouver,Dunbar,UBC,9,8,1,4,3,"8 a.m.-10 a.m., 4 p.m.-6 p.m.",4,More busses
1/26/2017 18:56:13,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",41,43,Canada Line,City of Vancouver,Riley Park,UBC,10,10,10,10,10,8 a.m.-10 a.m.,1,More busses
1/26/2017 19:04:31,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",25,7,Canada Line,City of Vancouver,Dunbar,UBC,8,6,6,5,7,10 a.m.-12 p.m.,4,More busses
1/26/2017 19:08:50,UBC student,Multiple times per day,Because I don't have my N and also TRAFFIC,"School, Work, Recreation/other",Evergreen Line,84,West Coast Express,Coquitlam,,UBC,1,2,1,1,1,"6 a.m.-8 a.m., 12 p.m.-2 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",3,"More busses, A new Skytrain/LRT line"
1/26/2017 19:11:53,UBC faculty/staff member,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",44,Canada Line,99,City of Vancouver,West End,UBC,8,8,8,7,4,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",2,"More busses, A new Skytrain/LRT line"
1/26/2017 19:12:35,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",44,Canada Line,4,City of Vancouver,Downtown,UBC,9,2,7,8,9,"8 a.m.-10 a.m., 4 p.m.-6 p.m.",4,More busses
1/26/2017 19:13:04,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",49,99,26,City of Vancouver,Killarney,UBC,8,7,2,8,4,6 a.m.-8 a.m.,3,"More busses, A new Skytrain/LRT line"
1/26/2017 19:13:18,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work",99,16,14,City of Vancouver,Arbutus,UBC,8,6,7,5,3,8 a.m.-10 a.m.,4,More busses
1/26/2017 19:19:30,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work",28,43,99,Burnaby,,UBC,6,8,9,4,1,"6 a.m.-8 a.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m.",4,"More busses, A new Skytrain/LRT line"
1/26/2017 19:20:40,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",C20,C18,99,City of Vancouver,UBC,UBC,8,8,6,2,5,4 p.m.-6 p.m.,3,"More busses, A new Skytrain/LRT line"
1/26/2017 19:27:14,UBC student,Once per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",Recreation/other,99,33,14,City of Vancouver,UBC,City of Vancouver (outside UBC),9,7,2,7,4,"12 p.m.-2 p.m., 2 p.m.-4 p.m.",2,"More busses, A new Skytrain/LRT line"
1/26/2017 19:28:17,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",41,10,Expo Line,City of Vancouver,Kerrisdale,UBC,10,6,6,7,7,6 a.m.-8 a.m.,3,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 19:29:09,UBC faculty/staff member,A few times per month,Convenience,"Work, Recreation/other",49,22,,City of Vancouver,Dunbar,UBC,8,1,,1,1,10 a.m.-12 p.m.,5,It's perfect as is
1/26/2017 19:29:32,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,25,Canada Line,,City of Vancouver,Riley Park,UBC,10,10,,8,10,"6 a.m.-8 a.m., 10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m.",1,"More busses, Better drivers, Bigger buses - making the 25 route a b-line sized bus / having an express bus run along king edward. There are a large number of condos being built near the King Ed/Cambie Canada line station and the 25 bus route is already over crowed and unpredictable. When the condos are finished and people move in it will be even more of a nightmare. The 25 route desperately needs to be able to accommodate more people. "
1/26/2017 19:31:30,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work",49,41,43,City of Vancouver,Kerrisdale,UBC,7,7,4,7,3,8 a.m.-10 a.m.,4,More busses
1/26/2017 19:34:23,UBC faculty/staff member,A few times per month,Convenience,"Work, Recreation/other",49,22,,City of Vancouver,Dunbar,UBC,8,1,,1,1,10 a.m.-12 p.m.,5,It's perfect as is
1/26/2017 19:39:30,Student elsewhere,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Can't drive",Recreation/other,49,Canada Line,99,City of Vancouver,UBC,City of Vancouver (outside UBC),6,7,8,8,1,"12 p.m.-2 p.m., 2 p.m.-4 p.m., 4 p.m.-6 p.m.",3,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 19:42:22,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",99,14,Canada Line,City of Vancouver,Kitsilano,UBC,10,9,4,8,6,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 10 a.m.-12 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m.",1,"More busses, A new Skytrain/LRT line"
1/26/2017 19:43:03,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",Canada Line,99,9,City of Vancouver,Fairview,City of Vancouver (outside UBC),8,9,7,8,4,8 a.m.-10 a.m.,2,A new Skytrain/LRT line
1/26/2017 19:46:32,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",99,14,84,City of Vancouver,Arbutus,UBC,8,7,2,1,2,"8 a.m.-10 a.m., 12 p.m.-2 p.m.",4,"More busses, Better drivers"
1/26/2017 19:48:16,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work",99,7,9,City of Vancouver,Hastings-Sunrise,UBC,7,6,8,7,3,8 a.m.-10 a.m.,4,"More busses, A new Skytrain/LRT line"
1/26/2017 19:48:45,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",Seabus,44,99,North or West Vancouver,,UBC,1,9,8,9,4,"6 a.m.-8 a.m., 8 a.m.-10 a.m., 10 a.m.-12 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",4,"A new Skytrain/LRT line, Skytrain ALL the way to UBC"
1/26/2017 19:50:42,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","Work, Recreation/other",99,C18,84,City of Vancouver,UBC,City of Vancouver (outside UBC),5,6,5,2,2,"6 a.m.-8 a.m., 10 a.m.-12 p.m., 12 p.m.-2 p.m., 2 p.m.-4 p.m.",4,"More busses, Better drivers"
1/26/2017 19:51:22,UBC student,Once per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,14,99,33,City of Vancouver,UBC,City of Vancouver (outside UBC),4,6,3,2,1,"6 p.m.-8 p.m., 8 p.m.-10 p.m.",4,A new Skytrain/LRT line
1/26/2017 19:52:16,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Work, Recreation/other",99,Canada Line,84,City of Vancouver,Fairview,UBC,8,5,2,4,2,8 a.m.-10 a.m.,4,It's perfect as is
1/26/2017 19:52:36,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)",School,Canada Line,49,,Richmond,,UBC,3,6,9,2,1,6 a.m.-8 a.m.,4,A new Skytrain/LRT line
1/26/2017 19:52:48,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","School, Recreation/other",50,49,Canada Line,City of Vancouver,Marpole,UBC,8,3,3,7,6,"10 a.m.-12 p.m., 4 p.m.-6 p.m.",2,"More double busses aka larger busses (ps my #1 bus is the 480, you just don't have that option!)"
1/26/2017 19:57:45,UBC student,Twice per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work, Recreation/other",41,22,99,City of Vancouver,Kensington-Cedar Cottage,UBC,7,3,5,3,2,8 a.m.-10 a.m.,4,"More busses, A new Skytrain/LRT line"
1/26/2017 19:59:12,Vancouver resident (non-student),Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience","Work, Recreation/other",Canada Line,43,Expo Line,City of Vancouver,Marpole,UBC,8,8,5,3,2,8 a.m.-10 a.m.,4,"More busses, A new Skytrain/LRT line"
1/26/2017 20:00:40,UBC student,A few times per week,"Cost (vs. owning a car, car-sharing, cabbing, etc.), Convenience",Recreation/other,99,14,41,City of Vancouver,UBC,City of Vancouver (outside UBC),8,6,4,2,4,"2 p.m.-4 p.m., 4 p.m.-6 p.m., 6 p.m.-8 p.m., 8 p.m.-10 p.m., After 10 p.m.",4,"More busses, Better drivers, A new Skytrain/LRT line"
1/26/2017 20:07:26,UBC student,Multiple times per day,"Cost (vs. owning a car, car-sharing, cabbing, etc.)","School, Work",Millennium Line,99,49,Elsewhere in the Lower Mainland,,UBC,8,10,10,3,3,8 a.m.-10 a.m.,2,"More busses, A new Skytrain/LRT line"
